vehicle_id,x,y,lane_id,speed,type,message_id,event_type,event_time,x_jitter,y_jitter,main_zone,sub_zone,event_seconds,event_weight,vehicle_weight,speed_norm,priority_score,forwarder_rank_scaf,is_forwarder_scaf,ml_pred,ml_prob,is_forwarder
CNA_NBNA_1,11368.01,9892.95,-31622#0_0,50.0,car,66d0f06d-dce1-41d8-8d40-26d674eeae72,NormalFlow,09:00:01,11368.115762549349,9892.6275949849,E5,E5_4,32401,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1
CNA_NBNA_2,6630.52,6036.52,-31606#0_0,1.0,car,00d2b3b6-308e-42e0-bbab-0d3634058210,Traffic,09:00:02,6630.518953589605,6036.751917306703,C3,C3_2,32402,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,1
CNA_NBNA_1,11355.13,9882.72,-31622#0_0,59.0,car,8f7e78fd-7a1a-4808-ad13-c20452106635,NormalFlow,09:00:03,11354.766581503894,9882.33735634446,E5,E5_4,32403,0.3,0.6,0.4160789844851904,0.413216,1.0,1,1,1.0,0
CNA_NBNA_2,6632.49,6034.82,-31606#0_0,9.3,car,f4706c71-e755-4683-b4ab-42f23c38f21c,NormalFlow,09:00:04,6632.116471661915,6034.977500577861,C3,C3_2,32404,0.3,0.6,0.0655853314527503,0.343117,1.0,1,1,1.0,1
CNA_NBNA_1,11340.59,9871.18,-31622#0_0,66.7,car,5f2f1e4a-18f1-4eb9-b1f0-f916b0389145,NormalFlow,09:00:05,11340.924506443173,9871.188655223154,E5,E5_4,32405,0.3,0.6,0.4703808180535966,0.424076,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10345.14,9246.37,-32278#1_0,1.0,bus,0a76ad1c-03f9-489e-958d-876cda2cb3a7,Traffic,09:00:06,10345.202710151614,9246.268616068077,E5,E5_2,32406,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,1
NBSKMS_Nightbus_2,7448.22,6512.58,-32924#0_0,1.0,bus,381eaa46-1dc7-4540-8c13-f7855ef098fc,Traffic,09:00:07,7448.247399270388,6512.416584759276,C3,C3_4,32407,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,1
CNA_NBNA_2,6636.61,6031.25,-31606#0_0,19.6,car,19fe5f5d-a4b3-4f45-9ca4-694f0fe316f4,NormalFlow,09:00:08,6636.597501128433,6031.662233143483,C3,C3_2,32408,0.3,0.6,0.1382228490832158,0.357645,1.0,1,1,1.0,0
CNA_NBNA_1,11325.19,9858.57,-31622#0_0,71.5,car,5d84cbe5-3768-4e73-b949-c1ee44b2d77a,NormalFlow,09:00:09,11325.34739673662,9858.685120692742,E5,E5_4,32409,0.3,0.6,0.504231311706629,0.430846,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10343.4,9244.63,-32278#1_0,8.9,bus,2a91fb88-68bb-440c-ae2d-9298b180d586,NormalFlow,09:00:10,10342.970371052304,9244.42406470314,E5,E5_2,32410,0.3,1.0,0.0627644569816643,0.462553,1.0,1,1,1.0,1
