vehicle_id,x,y,lane_id,speed,type,message_id,event_type,event_time,x_jitter,y_jitter,main_zone,sub_zone,event_seconds,event_weight,vehicle_weight,speed_norm,priority_score,forwarder_rank_scaf,is_forwarder_scaf,ml_pred,ml_prob,local_density,FRI,FRI_norm
CNA_NBNA_1,11368.01,9892.95,-31622#0_0,50.0,car,66d0f06d-dce1-41d8-8d40-26d674eeae72,NormalFlow,09:00:01,11368.115762549349,9892.6275949849,E5,E5_4,32401,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1,25.0,0.17630465444287727
CNA_NBNA_2,6630.52,6036.52,-31606#0_0,1.0,car,00d2b3b6-308e-42e0-bbab-0d3634058210,Traffic,09:00:02,6630.518953589605,6036.751917306703,C3,C3_2,32402,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,0,1.0,0.007052186177715091
CNA_NBNA_2,6632.49,6034.82,-31606#0_0,9.3,car,f4706c71-e755-4683-b4ab-42f23c38f21c,NormalFlow,09:00:04,6632.116471661915,6034.977500577861,C3,C3_2,32404,0.3,0.6,0.0655853314527503,0.343117,1.0,1,1,1.0,0,9.3,0.06558533145275035
NBSKMS_Nightbus_1,10345.14,9246.37,-32278#1_0,1.0,bus,0a76ad1c-03f9-489e-958d-876cda2cb3a7,Traffic,09:00:06,10345.202710151614,9246.268616068077,E5,E5_2,32406,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,1,0.5,0.0035260930888575456
NBSKMS_Nightbus_2,7448.22,6512.58,-32924#0_0,1.0,bus,381eaa46-1dc7-4540-8c13-f7855ef098fc,Traffic,09:00:07,7448.247399270388,6512.416584759276,C3,C3_4,32407,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,0,1.0,0.007052186177715091
NBSKMS_Nightbus_1,10343.4,9244.63,-32278#1_0,8.9,bus,2a91fb88-68bb-440c-ae2d-9298b180d586,NormalFlow,09:00:10,10342.970371052304,9244.42406470314,E5,E5_2,32410,0.3,1.0,0.0627644569816643,0.462553,1.0,1,1,1.0,0,8.9,0.06276445698166432
NBSKMS_Nightbus_2,7446.88,6512.27,-32924#0_0,5.0,bus,0e43cee1-0b31-4c77-b058-320ba7b0202e,NormalFlow,09:00:11,7446.62753051581,6512.428626922848,C3,C3_4,32411,0.3,1.0,0.0352609308885754,0.457052,1.0,1,1,1.0,0,5.0,0.03526093088857545
CNA_NBNA_3,5616.47,7698.23,--32406#3_0,1.0,car,55918cbd-95f7-4d8a-8faf-02f718933c80,Traffic,09:00:21,5616.131076887376,7698.364862778146,B4,B4_2,32421,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,0,1.0,0.007052186177715091
CNA_NBNA_3,5614.77,7697.8,--32406#3_0,6.3,car,f77de6eb-45e1-4ecb-8db7-a1f0c9f3fc50,NormalFlow,09:00:26,5614.509064336164,7697.920726791239,B4,B4_2,32426,0.3,0.6,0.044428772919605,0.338886,1.0,1,1,1.0,0,6.3,0.04442877291960507
CNA_NBNA_1,11255.53,9791.71,-31622#0_0,0.0,car,ec4d6ad9-e2d3-41d0-98b7-2f1567c1b30e,Accident,09:00:27,11255.221110294651,9791.260638856524,E5,E5_4,32427,1.0,0.6,0.0,0.68,1.0,1,1,1.0,0,0.0,0.0
CNA_NBNA_4,11368.4,9893.26,-31622#0_0,50.0,car,98712aa7-cea0-4273-907f-33bb840fa69e,NormalFlow,09:00:33,11368.511382784727,9893.702438641956,E5,E5_4,32433,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1,25.0,0.17630465444287727
CNA_NBNA_5,8005.73,5331.84,--31490_0,1.0,car,7fc23dde-057e-485d-9a8c-a709d708669a,Traffic,09:00:54,8005.805756413305,5332.2065562745,C3,C3_3,32454,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,0,1.0,0.007052186177715091
CNA_NBNA_6,6943.84,1860.14,-30706#0_0,50.0,car,1fb6f920-211d-4d0c-b07a-740e9558eff5,NormalFlow,09:00:59,6943.739227063034,1860.5463309686256,C1,C1_1,32459,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,0,50.0,0.35260930888575454
CNA_NBNA_5,8005.18,5334.03,--31490_0,8.1,car,1e7bc54b-2e02-4f52-bcd5-da495e2bc3a1,NormalFlow,09:01:02,8005.541864618932,5333.726459732948,C3,C3_3,32462,0.3,0.6,0.0571227080394922,0.341425,1.0,1,1,1.0,0,8.1,0.05712270803949224
CNA_NBNA_2,6736.63,5994.16,-31606#0_0,0.0,car,d52476d7-39e1-4349-a61d-3860d83bc0cb,Accident,09:01:03,6736.770558836096,5993.794644382973,C3,C3_2,32463,1.0,0.6,0.0,0.68,1.0,1,1,1.0,0,0.0,0.0
CNA_NBNA_4,11293.75,9830.62,-31622#0_0,0.0,car,eec4cfe5-4c1c-434f-ba01-f4bdab0e8f96,Accident,09:01:06,11294.230588749428,9830.924327007408,E5,E5_4,32466,1.0,0.6,0.0,0.68,1.0,1,1,1.0,0,0.0,0.0
CNA_NBNA_7,7658.03,6043.37,--32468#2_0,1.0,car,d6fbec9c-700e-4bc9-a032-03b98027c8aa,Traffic,09:01:12,7657.907059893865,6043.144077914591,C3,C3_4,32472,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,0,1.0,0.007052186177715091
CNA_NBNA_8,11368.01,9892.95,-31622#0_0,50.0,car,d9de1b9f-eb52-4dfd-8094-c78a1b982e2e,NormalFlow,09:01:16,11368.509649645986,9893.397194508589,E5,E5_4,32476,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1,25.0,0.17630465444287727
CNA_NBNA_9,10518.13,9706.68,-32340#7_0,1.0,car,2a293386-a6f0-4a0a-ae69-eb63fae00133,Traffic,09:01:21,10518.606476714454,9706.851692256634,E5,E5_2,32481,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,1,0.5,0.0035260930888575456
CNA_NBNA_7,7658.47,6045.23,--32468#2_0,6.9,car,99864b5d-58a8-41a3-a56d-433d09c3bb42,NormalFlow,09:01:23,7658.534257088742,6045.598458042833,C3,C3_4,32483,0.3,0.6,0.0486600846262341,0.339732,1.0,1,1,1.0,0,6.9,0.04866008462623413
CNA_NBNA_10,11368.4,9893.26,-31622#0_0,50.0,car,45669e9e-0b7f-4f0d-9277-7ad7d9d72b73,NormalFlow,09:01:28,11368.564864704473,9893.262936223571,E5,E5_4,32488,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1,25.0,0.17630465444287727
CNA_NBNA_9,10519.39,9706.1,-32340#7_0,5.0,car,13a1a84e-e1ae-429e-9a2a-befda716ac9f,NormalFlow,09:01:33,10519.443026984774,9706.403518676334,E5,E5_2,32493,0.3,0.6,0.0352609308885754,0.337052,1.0,1,1,1.0,0,5.0,0.03526093088857545
CNA_NBNA_5,7991.83,5387.77,--31490_0,0.0,car,8cc9b41f-3ac0-46b9-8fbb-4b803a9ebe3b,Accident,09:02:08,7992.24969928286,5387.524924693305,C3,C3_3,32528,1.0,0.6,0.0,0.68,1.0,1,1,1.0,0,0.0,0.0
NBSKMS_Nightbus_3,5756.63,5774.89,--31272#8_0,1.0,bus,f6de40c5-ae96-458f-850b-804b4236841e,Traffic,09:02:42,5757.065194811164,5774.791239188311,B3,B3_3,32562,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,0,1.0,0.007052186177715091
NBSKMS_Nightbus_4,7434.27,5733.14,--30528#16_0,1.0,bus,8f7187b2-94b8-44ab-8ff3-1621f5f45119,Traffic,09:02:43,7433.902781711152,5732.984025362548,C3,C3_3,32563,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,0,1.0,0.007052186177715091
NBSKMS_Nightbus_2,7337.23,6632.85,-32924#0_0,41.9,bus,7d28cbc6-5242-4fae-a6e3-1db57b4905db,NormalFlow,09:02:45,7337.337427221178,6632.964748953851,C4,C4_3,32565,0.3,1.0,0.2954866008462623,0.509097,1.0,1,1,1.0,0,41.9,0.2954866008462623
CNA_NBNA_9,10563.96,9685.03,-32340#7_0,45.8,car,78a592cc-d4df-4222-8c27-908431163280,NormalFlow,09:02:47,10563.61115070419,9685.234341390917,E5,E5_4,32567,0.3,0.6,0.3229901269393511,0.394598,1.0,1,1,1.0,0,45.8,0.32299012693935114
NBSKMS_Nightbus_3,5759.17,5774.7,--31272#8_0,9.2,bus,ea9fd336-dee1-4333-9bc6-70e82ff9e5b5,NormalFlow,09:02:56,5758.859456245194,5774.935531229382,B3,B3_3,32576,0.3,1.0,0.0648801128349788,0.462976,1.0,1,1,1.0,0,9.2,0.06488011283497884
NBSKMS_Nightbus_4,7434.82,5735.72,--30528#16_0,9.3,bus,7870560a-99ef-4677-8d1b-db1b59b80f71,NormalFlow,09:02:57,7434.355848374105,5735.986120035619,C3,C3_3,32577,0.3,1.0,0.0655853314527503,0.463117,1.0,1,1,1.0,0,9.3,0.06558533145275035
NBSKMS_Nightbus_1,10281.9,9191.01,-32278#1_0,0.0,bus,e98ca737-7185-491b-b58b-3c86e9288e3f,Accident,09:02:58,10282.049237992627,9191.442090098164,E5,E5_2,32578,1.0,1.0,0.0,0.8,1.0,1,1,1.0,0,0.0,0.0
NBSKMS_Nightbus_2,7329.02,6654.93,-32924#0_0,41.9,bus,bcab0e2d-b8e2-46e2-8b37-62a10323cc33,NormalFlow,09:03:13,7328.760754120869,6654.860134713686,C4,C4_1,32593,0.3,1.0,0.2954866008462623,0.509097,1.0,1,1,1.0,0,41.9,0.2954866008462623
CNA_NBNA_9,10605.46,9648.89,-32340#7_0,0.0,car,cf148876-643b-473c-a8ee-5471ff9e60e6,Accident,09:03:43,10604.972910982216,9649.227832644672,E5,E5_4,32623,1.0,0.6,0.0,0.68,1.0,1,1,1.0,0,0.0,0.0
